,nama lengkap,alias,instagram,,,,,,
1,Angelica Simperler,,,,crawled,,,,
2,Aaliyah Massaid,,,,crawled,,,,
3,Abdul Latief,,,,crawled,,,,
4,Abdul Qodir Jaelani,,,,crawled,,,,
5,Abdullah Gymnastiar,Aa Gym,,,crawled,,0,,
6,Abdur Arsyad,,,,crawled,,,,
7,Abel Cantika,,,,crawled,,,,
8,Abiel Atan,,,,crawled,,1,,
9,Abilhaq Karil,,,,crawled,,,,
10,Abimana Aryasatya,,,,crawled,,,,
11,Aburizal Bakrie,,,,crawled,,,,
12,Acha Septriasa,,,,crawled,,,,
13,Acha Sinaga,,,,crawled,,,,
14,Achmad Megantara,,,,crawled,,,,
16,Adam Jordan,,,,crawled,,,,
17,Addie MS,,,,crawled,,,,
18,Ade Firman Hakim,,,,crawled,,,,
19,Ade Herlina,,,,crawled,,,,
20,Aderaprabu Lantip Trengginas,,,,crawled,,,,
21,Adhisty Zara JKT48,Zara JKT48,,,crawled,,,,
22,Adi Bing Slamet,,,,crawled,,,,
23,Adi Hidayat,,,,crawled,,,,
24,Adi Nugroho,,,,crawled,,,,
25,Adian Napitupulu,,,,crawled,,,,
26,Adinda Azani,,,,crawled,,,,
27,Adinda Rizki Aprilia Azani,,,,crawled,,,,
28,Adinda Thomas,,,,crawled,,,,
29,Adinia Wirasti,,,,crawled,,,,
30,Adipati Dolken,,,,crawled,,,,
31,Adithya Alkatiri,,,,crawled,,,,
32,Aditya Herpavi,,,,crawled,,,,
33,Adjie Pangestu,,,,crawled,,,,
34,Adly Fairuz,,,,crawled,,,,
35,Adrian Ishak,,,,crawled,,,,
36,Adrian Maulana,,,,crawled,,,,
37,Adyla Rafa Naura Ayu,,,,crawled,,,,
38,Adzana Bing Slamet,,,,crawled,,,,
39,Afghansyah Reza,,,,crawled,,,,
40,Aga Dirgantara,,,,crawled,,,,
41,Agatha Chelsea,,,,crawled,,,,
42,Agatha Pricilla,,,,crawled,,,,
43,Agatha Suci,,,,crawled,,,,
44,Aghnia Punjabi,,,,crawled,,,,
45,Agla Artalidia,,,,crawled,,,,
46,Agnes Monica,,,,crawled,,,,
47,Agni Pratistha,,,,crawled,,,,
48,Agung Hapsah,,,,crawled,,,,
49,Agung Hercules,,,,crawled,,,,
50,Agung Saga,,,,crawled,,,,
51,Agus Gumiwang,,,,crawled,,,,
52,Agus Yudhoyono,,,,crawled,,,,
53,Agustina Hermanto,,,,crawled,,,,
54,Ahmad Abdul,,,,crawled,,,,
55,Ahmad Affandy,,,,crawled,,,,
56,Ahmad Al Ghazali K,,,,crawled,,,,
57,Ahmad Albar,,,,crawled,,,,
58,Ahmad Firdaus,,,,crawled,,,,
59,Ahmad Jalaluddin Rumi,,,,crawled,,,,
60,Achmad Zaky,,achmadzaky,,crawled,,,,
61,Airlangga Hartarto,,,,crawled,,,,
62,Aisyah Aqilah,,,,crawled,,,,
63,aisyah Humairoh Hafidzoh,,,,crawled,,,,
64,Ajeng Fauziah,,,,crawled,,,,
65,Ajeng Kartika,,,,crawled,,,,
66,Ajil Ditto,,,,crawled,,,,
67,Akbar Tandjung,,,,crawled,,,,
68,Akhadi Wira,,,,crawled,,,,
69,Aldi Bragi,,,,crawled,,,,
70,Aldi Taher,,,,crawled,,,,
71,Aldy Maldini,,,,crawled,,,,
72,Alessia Cestaro,,,,crawled,,,,
73,Alex Abbad,,,,crawled,,,,
74,Alex Komang,,,,crawled,,,,
75,Alex Lalisang,,,,crawled,,,,
76,Alexa Key,,,,crawled,,,,
77,Alexandra Asmasoebrata,,,,crawled,,,,
78,Alexandra Gottardo,,,,crawled,,,,
